,time,BlkCnt,PriceBTC,PriceUSD,HashRate,DiffLast,BlkHeight,Reward,BTCGenFrmBlk,totalBTC,btcSupplyOnDate,s2f_ratio_10,s2f_ratio_usd_10,s2f_ratio_463,s2f_ratio_usd_463
2018-09-15,,,,,,,,,,,17269779.8303064,25.565281902279022,7952.788609060348,23.413780551483573,5950.159380323193
2018-09-16,,,,,,,,,,,17271517.33030562,25.759646776611635,8154.065333431272,23.416959147705224,5952.8254663530915
2018-09-17,,,,,,,,,,,17273204.8302947,26.06431827686989,8476.674893587422,23.42319641294206,5958.059467669119
2018-09-18,,,,,,,,,,,17274979.8302474,26.211667019329262,8635.844715571975,23.4274731253301,5961.650124045147
2018-09-19,,,,,,,,,,,17276929.8302201,26.342549666550187,8778.964038377611,23.42504279716972,5959.609476112293
2018-09-20,,,,,,,,,,,17278854.8301928,26.001099619969338,8409.015739516259,23.422925461844166,5957.832032432419
2018-09-21,,,,,,,,,,,17280654.83016477,25.95024898375808,8354.867199336219,23.42862763758338,5962.619691736328
2018-09-22,,,,,,,,,,,17282592.330164,26.186896705012057,8608.942775466685,23.428961896965156,5962.9004256829185
2018-09-23,,,,,,,,,,,17284467.330164,26.15350416802347,8572.769139708782,23.429902322892946,5963.690309274555
2018-09-24,,,,,,,,,,,17286317.3301367,25.869950078999864,8269.856131126382,23.431502450207766,5965.034457589213
2018-09-25,,,,,,,,,,,17288429.8301094,25.369686749756326,7753.759942598364,23.4282616085405,5962.312286017019
2018-09-26,,,,,,,,,,,17290167.3300821,25.3722392115841,7756.334607366641,23.430395968250252,5964.104961617883
2018-09-27,,,,,,,,,,,17291954.83005479,25.239386376339887,7623.115833374572,23.43190630228634,5965.373737144556
2018-09-28,,,,,,,,,,,17293879.82997749,25.041646846342186,7427.797079637467,23.429441285860815,5963.303065425875
2018-09-29,,,,,,,,,,,17295779.82996749,25.110904490022385,7495.805008823956,23.43493596856696,5967.919414407478
2018-09-30,,,,,,,,,,,17297817.32996749,24.964708695781752,7352.752785011866,23.43193604715806,5965.398726595264
2018-10-01,,,,,,,,,,,17299792.32994019,24.73899953717367,7135.650037519049,23.42224871558994,5957.264000841983
2018-10-02,,,,,,,,,,,17301504.82991289,25.036123546083427,7422.392031387307,23.42642941570669,5960.7737037748775
2018-10-03,,,,,,,,,,,17303317.32988559,25.121859794994464,7506.60223542906,23.42415415276499,5958.863439033291
2018-10-04,,,,,,,,,,,17305192.32985829,25.091271102409635,7476.482008234193,23.42926103855006,5963.151673107132
2018-10-05,,,,,,,,,,,17306817.32985829,25.759652930106984,8154.071761347664,23.428106935608767,5962.182388869493
2018-10-06,,,,,,,,,,,17308379.82985829,26.009785605715415,8418.289445826178,23.44041272314223,5972.523179055772
2018-10-07,,,,,,,,,,,17310154.82985759,26.030340233951982,8440.263252160634,23.450596879161193,5981.090569337379
2018-10-08,,,,,,,,,,,17311842.32985759,26.377449130762095,8817.40371365166,23.47145799645869,5998.666657236682
2018-10-09,,,,,,,,,,,17313467.32983029,26.79050093674443,9281.3095636952,23.48772535014014,6012.39732383563
2018-10-10,,,,,,,,,,,17315267.32979299,27.15832712320244,9708.507153863784,23.493439280316007,6017.225432961672
